,Radius,Pad,U,G,Pin,PinColID,PinRowID,PadName,FEE,FEE_Connector,FEE_Chan,phi,x,y,PadX,PadY,PadR,PadPhi,PadN
899,0,51,8,1,B6,1,6,ZZ.00.051,4.0,J1,15,0.2127120025868089,68.42233824605003,14.77780866512756,21.212415201462385,416.0516182357951,416.59202536210773,1.519855379808638,132
922,0,52,8,1,C5,2,5,ZZ.00.052,4.0,J1,19,0.2168026180211706,68.36131562312494,15.057573718082677,19.565078713414636,416.13233867393785,416.59202536210773,1.523814442760161,132
945,0,53,8,1,D4,3,4,ZZ.00.053,4.0,J1,23,0.2208932334555323,68.299149102697,15.337086810980884,17.917435559212667,416.20653658764724,416.5920253621078,1.527773505711684,132
968,0,54,8,1,E3,4,3,ZZ.00.054,4.0,J1,27,0.22498384888989403,68.23583972500552,15.616343266698484,16.26951156427721,416.2742108139332,416.5920253621078,1.5317325686632068,132
997,0,55,8,1,F8,5,8,ZZ.00.055,4.0,J1,1,0.22907446432425574,68.17138854941335,15.895338412406124,14.621332558430957,416.3353602920593,416.59202536210785,1.5356916316147298,132
1017,0,56,8,1,F2,5,2,ZZ.00.056,4.0,J1,31,0.23316507975861744,68.10579665438921,16.174067579646977,12.97292437549367,416.38998406355887,416.59202536210785,1.5396506945662527,132
944,0,57,8,1,D3,3,3,ZZ.00.057,4.0,J1,26,0.23725569519297915,68.03906513748956,16.45252610441487,11.324312852877275,416.43808127225014,416.5920253621078,1.5436097575177756,132
973,0,58,8,1,E8,4,8,ZZ.00.058,4.0,J1,0,0.24134631062734085,67.97119511534031,16.730709327232308,9.675523831180879,416.47965116424996,416.5920253621078,1.5475688204692986,132
996,0,59,8,1,F7,5,7,ZZ.00.059,4.0,J1,4,0.24543692606170256,67.90218772361808,17.00861259322847,8.026583153785728,416.5146930879851,416.59202536210785,1.5515278834208215,132
920,0,60,8,1,C3,2,3,ZZ.00.060,4.0,J1,29,0.2495275414960643,67.83204411703124,17.286231252217075,6.377516666450154,416.54320649420293,416.59202536210773,1.5554869463723444,132
949,0,61,8,1,D8,3,8,ZZ.00.061,4.0,J1,3,0.253618156930426,67.7607654693006,17.5635606587742,4.728350216904445,416.56519093597984,416.59202536210773,1.5594460093238673,132
972,0,62,8,1,E7,4,7,ZZ.00.062,4.0,J1,7,0.2577087723647877,67.68835297313964,17.840596172316015,3.079109654445721,416.5806460687282,416.5920253621078,1.5634050722753903,132
995,0,63,8,1,F6,5,6,ZZ.00.063,4.0,J1,11,0.2617993877991494,67.61480784023477,18.117333157176454,1.429820829532753,416.58957165020166,416.59202536210785,1.5673641352269132,132
1155,0,64,10,1,B6,1,6,ZZ.00.064,3.0,J1,15,0.26589000323351114,67.54013130122487,18.39376698268473,-0.21949040661921085,416.59196754049935,416.5920253621078,1.5713231981784361,132
1178,0,65,10,1,C5,2,5,ZZ.00.065,3.0,J1,19,0.2699806186678728,67.46432460568079,18.669893023242885,-1.8687982024436467,416.5878337020677,416.59202536210785,1.575282261129959,132
1201,0,66,10,1,D4,3,4,ZZ.00.066,3.0,J1,23,0.27407123410223455,67.38738902208438,18.945706658403147,-3.5180767064279546,416.57717019970113,416.5920253621078,1.579241324081482,132
1224,0,67,10,1,E3,4,3,ZZ.00.067,3.0,J1,27,0.27816184953659623,67.30932583780734,19.22120327294526,-5.167300067518659,416.5599772005411,416.59202536210785,1.583200387033005,132
1253,0,68,10,1,F8,5,8,ZZ.00.068,3.0,J1,1,0.28225246497095796,67.2301363590896,19.496378256953715,-6.816442435526604,416.5362549740733,416.5920253621078,1.5871594499845278,132
